#RUN	 #EVENT	 ETA1	 ETA2	 DeltaETA	 PT1	 PT2	 MJJ	 lumi 
297487.0	 615288317.0	 0.713224065086	 -0.252805161019	 0.966029226105	 2774.19823544	 2592.83436836	 6028.68927038	 476.0
297503.0	 762507300.0	 0.271415382624	 -0.805309712887	 1.07672509551	 2917.72085322	 2623.42575638	 6356.88338344	 417.0
301998.0	 1199918782.0	 -0.0212298687547	 -0.479812175035	 0.458582306281	 3572.90507012	 3460.16661096	 7219.76234686	 1516.0
302553.0	 209371627.0	 0.403879195452	 -0.627483206511	 1.03136240196	 2729.06475899	 2711.14008328	 6209.23203489	 168.0
302635.0	 1038071070.0	 0.0613400824368	 0.251630157232	 0.190290074795	 3284.22873698	 3248.66849046	 6569.58214131	 1172.0
303948.0	 797476885.0	 -0.0112038142979	 0.39753758605	 0.408741400348	 3456.59797287	 3440.22313131	 7064.22969186	 493.0
306456.0	 148030584.0	 -0.224541991949	 0.136286171087	 0.360828163036	 3139.6510107	 2951.27817152	 6253.17996661	 82.0
305207.0	 199555179.0	 -0.242105927137	 0.464396709409	 0.706502636546	 3279.56342903	 3126.90948497	 6927.46976344	 153.0
