#RUN	 #EVENT	 ETA1	 ETA2	 DeltaETA	 PT1	 PT2	 MJJ	 lumi 
299370.0	 707671186.0	 0.645290738509	 -0.0502032227814	 0.69549396129	 3192.5320369	 2969.86847251	 6695.5523057	 550.0
300497.0	 57096870.0	 0.178390264511	 -0.792749600678	 0.971139865189	 3144.63267617	 2586.35605728	 6391.57353221	 61.0
300575.0	 65453124.0	 -0.339458495378	 0.579849898815	 0.919308394194	 3728.12622072	 3385.67528838	 7878.87950527	 39.0
303948.0	 797476885.0	 -0.0112038142979	 0.397762012897	 0.408965827195	 3523.82208624	 3502.81807174	 7197.6606062	 493.0
304170.0	 228485007.0	 0.660564776227	 -0.188242444382	 0.848807220608	 3069.28837815	 2772.09818522	 6409.76628087	 248.0
304333.0	 -2069241034.0	 0.53654050827	 -0.541126207619	 1.07766671589	 2620.49604072	 2584.05268362	 6134.0882983	 1512.0
305766.0	 181519161.0	 0.526095449924	 -0.0403255900453	 0.56642103997	 2881.90035689	 2778.02706532	 6167.36480563	 134.0
305814.0	 -2084580103.0	 0.169699986801	 0.837974607944	 0.668274621143	 2935.30891936	 2902.43818642	 6279.33579754	 1305.0
305207.0	 199555179.0	 -0.242069556608	 0.463887998002	 0.70595755461	 3338.80999836	 3177.06501244	 7044.79342319	 153.0
