#RUN	 #EVENT	 ETA1	 ETA2	 DeltaETA	 PT1	 PT2	 MJJ	 lumi 
297178.0	 24329440.0	 -0.0878203622084	 -0.284767463437	 0.196947101228	 2828.86419234	 2791.48039271	 6351.78223057	 17.0
297503.0	 762507300.0	 0.271415382624	 -0.805309712887	 1.07672509551	 2968.99283053	 2659.91482064	 6456.93254186	 417.0
300777.0	 325862327.0	 0.676206616415	 -0.318523943424	 0.99473055984	 2757.56136229	 2748.26389434	 6224.78647981	 214.0
300785.0	 1028846940.0	 -0.289854241389	 -0.0201155804098	 0.269738660979	 3042.21160162	 2931.93030597	 6106.16415544	 855.0
301180.0	 45243665.0	 0.279843002558	 -0.679181077689	 0.959024080247	 2691.18887969	 2587.81105505	 6014.383818	 46.0
304170.0	 92278514.0	 0.390348672867	 0.318570722618	 0.0717779502487	 3114.33334337	 3101.53625266	 6287.92708536	 98.0
304562.0	 923900024.0	 0.323809655458	 -0.408667505299	 0.732477160757	 2833.92575044	 2561.31903386	 6025.60395966	 565.0
305814.0	 971086788.0	 -0.130654675594	 0.27347258351	 0.404127259104	 3479.72406547	 3443.67035904	 8041.46631977	 610.0
305902.0	 457814051.0	 0.447605609894	 -0.209474723466	 0.65708033336	 3181.19887466	 2995.28519197	 6533.36691352	 301.0
