#RUN	 #EVENT	 ETA1	 ETA2	 DeltaETA	 PT1	 PT2	 MJJ	 lumi 
297620.0	 299444044.0	 -0.474090367556	 0.453450232744	 0.9275406003	 2890.48657227	 2550.17431641	 6029.05859337	 210.0
301180.0	 45243665.0	 0.279843002558	 -0.679181079573	 0.959024082131	 2691.18896484	 2587.81109767	 6014.38395915	 46.0
304562.0	 923900024.0	 0.323809660553	 -0.408667504795	 0.732477165348	 2833.9256117	 2561.31898875	 6025.60377181	 565.0
303832.0	 670551543.0	 -0.0995889403423	 -0.120496861637	 0.0209079212944	 3155.79735779	 3005.92871094	 6202.78546662	 536.0
304170.0	 228485007.0	 0.660564775116	 -0.188242444362	 0.848807219478	 3069.28817921	 2772.09815785	 6409.76604331	 248.0
305046.0	 545848728.0	 -0.391330033541	 0.437311857939	 0.828641891479	 3365.64550781	 2906.76489258	 6805.10000331	 533.0
305766.0	 181519161.0	 0.526095449924	 -0.0403256034624	 0.566421053387	 2881.90039063	 2778.02707884	 6167.36485637	 134.0
305188.0	 1397769240.0	 0.424629729038	 0.0675312384085	 0.357098490629	 3015.04486164	 2936.28515768	 6286.62785018	 959.0
305814.0	 971086788.0	 -0.13065466364	 0.27347258472	 0.40412724836	 3479.72415107	 3443.67042545	 8041.46647738	 610.0
