#RUN	 #EVENT	 ETA1	 ETA2	 DeltaETA	 PT1	 PT2	 MJJ	 lumi 
300497.0	 57096870.0	 0.178390264511	 -0.792749600678	 0.971139865189	 3144.63267617	 2586.35605728	 6391.57353221	 61.0
300575.0	 65453124.0	 -0.339458495378	 0.579849898815	 0.919308394194	 3728.12622072	 3385.67528838	 7878.87950527	 39.0
300777.0	 325862327.0	 0.676206616415	 -0.318523943424	 0.99473055984	 2757.56136229	 2748.26389434	 6224.78647981	 214.0
299369.0	 45807993.0	 0.112760802409	 -0.0731573388184	 0.185918141227	 3201.25914428	 3071.51893837	 6347.27620495	 37.0
304562.0	 923900024.0	 0.323809655458	 -0.408667505299	 0.732477160757	 2833.92575044	 2561.31903386	 6025.60395966	 565.0
304292.0	 249975698.0	 -0.765555918217	 0.00750832604662	 0.773064244263	 2873.80318843	 2706.11970845	 6039.33074036	 118.0
304447.0	 326515387.0	 0.558561603098	 0.110870659444	 0.447690943654	 2966.24346751	 2877.34149005	 6079.93282339	 191.0
306125.0	 -1842862683.0	 -0.236080676317	 -0.0638657134253	 0.172214962892	 3136.8523411	 2871.84985121	 6092.76132047	 1422.0
305590.0	 519294541.0	 -0.00580285210162	 1.0697453022	 1.0755481543	 2712.08756174	 2559.33811221	 6056.66439888	 384.0
